athlete_name,race_name,race_date,distance,finish_time,overall_position,age_group,score
"Matthew Carroll","Pulse Port Beach - Triathlon National Series","20th Sep 2025","Sprint","01:09:48","15","30-34","785.21"
"Matthew Carroll","Loughrea Triathlon - Triathlon National Series","3rd Aug 2025","Sprint","01:10:09","21","30-34","761.06"
"Matthew Carroll","Dublin City Sprint Triathlon - Triathlon National Series","24th Aug 2024","Sprint","01:17:51","36","30-34","745.02"
"Matthew Carroll","Skerries Triathlon - Triathlon National Series","18th Aug 2024","Sprint","01:16:28","32","30-34","726.90"
"Matthew Carroll","TriAthy Standard Triathlon - Triathlon National Series","1st Jun 2024","Standard","02:19:20","56","30-34","755.02"
"Darragh Ryan","Carrick-on-Suir Sprint Triathlon","27th Jul 2025","Sprint","01:15:12","43","35-39","659.27"
"Andy Mc Namara","Lough Ree Monster Triathlon","6th Sep 2025","Sprint","01:18:09","18","30-34","633.40"
"Ross Murphy","TriLaois","12th Apr 2025","Sprint","01:25:37","28","35-39","660.55"
"Ciarán Reynolds","TriLaois","12th Apr 2025","Sprint","01:14:19","2","35-39","760.99"
"Ciarán Reynolds","Dublin City Sprint Triathlon - Triathlon National Series","24th Aug 2024","Sprint","01:26:17","74","30-34","672.20"
"Ciarán Reynolds","TriAthy Standard Triathlon - Triathlon National Series","1st Jun 2024","Standard","02:39:30","192","30-34","659.56"
"Arron Murphy","Harbourman Triathlon - Triathlon National Series","6th Jul 2025","Standard","03:05:24","261","35-39","563.62"
"Arron Murphy","Pulse Port Beach - Irish National Series","28th Sep 2024","Sprint","01:37:44","163","30-34","571.11"
"Arron Murphy","Pikeman Irish National Standard Distance Triathlon Championships","15th Sep 2024","Standard","03:06:13","172","30-34","554.82"
"Philip Sheridan","Dublin City Standard Triathlon - Triathlon National Series","23rd Aug 2025","Standard","02:23:09","14","35-39","755.65"
"Philip Sheridan","Tri795 Triathlon - Triathlon National Series","26th May 2024","Sprint","01:12:04","51","35-39","750.69"
"Declan Morley","TriAthy Standard Triathlon - Triathlon National Series","31st May 2025","Standard","02:38:51","150","30-34","669.74"
"Daniel Eckersall","TriLaois","12th Apr 2025","Sprint","01:19:04","14","35-39","715.27"
"Brian Smyth","TriLaois","12th Apr 2025","Sprint","01:39:53","82","35-39","566.20"
